AQSID,STATE_NAME,COUNTY_NAME,PARAMETER_NAME,DATETIME_LOCAL,LATITUDE,LONGITUDE,UNITS_OF_MEASURE,AQI,CITY_NAME
AQ001277,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/11/28 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001278,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/01 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001279,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/04 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001280,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/07 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001281,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/10 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001282,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/13 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001283,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/16 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001284,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/19 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001285,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/22 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001286,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/25 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001287,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/28 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001288,District Of Columbia,District of Columbia,Aluminum PM2.5 LC,2022/12/31 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001289,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/02 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001290,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/05 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001291,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/08 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001292,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/11 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001293,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/14 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001294,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/17 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001295,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/20 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001296,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/23 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001297,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/26 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001298,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/01/29 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001299,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/01 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001300,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/10 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001301,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/13 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001302,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/16 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001303,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/19 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001304,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/22 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001305,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/25 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001306,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/02/28 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001307,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/03 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001308,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/06 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
AQ001309,District Of Columbia,District of Columbia,Ammonium Ion PM2.5 LC,2022/03/09 05:00:00+00,38.921847,-77.013178,Micrograms/cubic meter (LC),,Washington
